Name,Price,Category,Rating
iPhone 5s,₹16999,Electronics,2.83
iPhone 6,₹25499,Electronics,3.41
iPhone 13 Pro,₹93499,Electronics,4.12
iPhone X,₹76499,Electronics,2.51
Oppo A57,₹21249,Electronics,3.94
Oppo F19 Pro Plus,₹33999,Electronics,3.51
Oppo K1,₹25499,Electronics,4.25
Realme C35,₹12749,Electronics,4.2
Realme X,₹25499,Electronics,3.7
Realme XT,₹29749,Electronics,4.58
Samsung Galaxy S7,₹25499,Electronics,3.3
Samsung Galaxy S8,₹42499,Electronics,4.4
Samsung Galaxy S10,₹59499,Electronics,3.06
Vivo S1,₹21249,Electronics,3.5
Vivo V9,₹25499,Electronics,3.6
Vivo X21,₹42499,Electronics,4.26
Apple MacBook Pro 14 Inch Space Grey,₹169999,Electronics,3.65
Asus Zenbook Pro Dual Screen Laptop,₹152999,Electronics,3.95
Huawei Matebook X Pro,₹118999,Electronics,4.98
Lenovo Yoga 920,₹93499,Electronics,2.86
New DELL XPS 13 9300 Laptop,₹127499,Electronics,2.67
Essence Mascara Lash Princess,₹849,Beauty,2.56
Eyeshadow Palette with Mirror,₹1699,Beauty,2.86
Powder Canister,₹1274,Beauty,4.64
Red Lipstick,₹1104,Beauty,4.36
Red Nail Polish,₹764,Beauty,4.32
Apple,₹169,Groceries,4.19
Beef Steak,₹1104,Groceries,4.47
Cat Food,₹764,Groceries,3.13
Chicken Meat,₹849,Groceries,3.19
Cooking Oil,₹424,Groceries,4.8
Cucumber,₹127,Groceries,4.07
Dog Food,₹934,Groceries,4.55
Eggs,₹254,Groceries,2.53
Fish Steak,₹1274,Groceries,3.78
Green Bell Pepper,₹110,Groceries,3.25
Green Chili Pepper,₹84,Groceries,3.66
Honey Jar,₹594,Groceries,3.97
Ice Cream,₹467,Groceries,3.39
Juice,₹339,Groceries,3.94
Kiwi,₹212,Groceries,4.93
Lemon,₹67,Groceries,3.53
Milk,₹297,Groceries,2.61
Mulberry,₹424,Groceries,4.95
Nescafe Coffee,₹679,Groceries,4.82
Potatoes,₹195,Groceries,4.81
Protein Powder,₹1699,Groceries,4.18
Red Onions,₹169,Groceries,4.2
Rice,₹509,Groceries,3.18
Soft Drinks,₹169,Groceries,4.75
Strawberry,₹339,Groceries,3.08
Tissue Paper Box,₹212,Groceries,2.69
Water,₹84,Groceries,4.96
Annibale Colombo Bed,₹161499,Furniture,4.77
Annibale Colombo Sofa,₹212499,Furniture,3.92
Bedside Table African Cherry,₹25499,Furniture,2.87
Knoll Saarinen Executive Conference Chair,₹42499,Furniture,4.88
Wooden Bathroom Sink With Mirror,₹67999,Furniture,3.59
